,production,hour
1044,269172.845,12
1045,282972.846,13
1046,248867.544,14
1047,165083.611,15
1048,29414.712,16
1049,0.0,17
1050,0.0,18
1051,0.0,19
1052,0.0,20
1053,0.0,21
1054,0.0,22
1055,0.0,23
1056,0.0,0
1057,0.0,1
1058,0.0,2
1059,0.0,3
1060,0.0,4
1061,0.0,5
1062,0.0,6
1063,0.0,7
1064,8471.229,8
1065,36256.008,9
1066,76088.648,10
1067,113533.992,11
1068,139843.638,12
1069,133152.832,13
1070,105436.241,14
1071,58241.578,15
1072,8288.878,16
1073,0.0,17
1074,0.0,18
1075,0.0,19
1076,0.0,20
1077,0.0,21
1078,0.0,22
1079,0.0,23
1080,0.0,0
1081,0.0,1
1082,0.0,2
1083,0.0,3
1084,0.0,4
1085,0.0,5
1086,0.0,6
1087,0.0,7
1088,9262.323,8
1089,37531.728,9
1090,60673.169,10
1091,76256.609,11
1092,80853.944,12
1093,74280.244,13
1094,57070.306,14
1095,31526.904,15
1096,4272.953,16
1097,0.0,17
1098,0.0,18
1099,0.0,19
1100,0.0,20
1101,0.0,21
1102,0.0,22
1103,0.0,23
1104,0.0,0
1105,0.0,1
1106,0.0,2
1107,0.0,3
1108,0.0,4
1109,0.0,5
1110,0.0,6
1111,0.0,7
1112,17752.232,8
1113,63733.974,9
1114,98684.053,10
1115,115595.734,11
1116,113157.561,12
1117,95698.708,13
1118,66742.135,14
1119,32514.538,15
1120,16046.339,16
1121,0.0,17
1122,0.0,18
1123,0.0,19
1124,0.0,20
1125,0.0,21
1126,0.0,22
1127,0.0,23
1128,0.0,0
1129,0.0,1
1130,0.0,2
1131,0.0,3
1132,0.0,4
1133,0.0,5
1134,0.0,6
1135,0.0,7
1136,21168.318,8
1137,65402.621,9
1138,155041.54,10
1139,241009.925,11
1140,293767.791,12
1141,301753.388,13
1142,262747.948,14
1143,176408.573,15
1144,55975.614,16
1145,0.0,17
1146,0.0,18
1147,0.0,19
1148,0.0,20
1149,0.0,21
1150,0.0,22
1151,0.0,23
1152,0.0,0
1153,0.0,1
1154,0.0,2
1155,0.0,3
1156,0.0,4
1157,0.0,5
1158,0.0,6
1159,0.0,7
1160,21796.953,8
1161,68300.914,9
1162,160050.701,10
1163,247627.246,11
1164,301479.725,12
1165,309581.327,13
1166,269339.712,14
1167,180862.642,15
1168,59673.547,16
1169,0.0,17
1170,0.0,18
1171,0.0,19
1172,0.0,20
1173,0.0,21
1174,0.0,22
1175,0.0,23
1176,0.0,0
1177,0.0,1
1178,0.0,2
1179,0.0,3
1180,0.0,4
1181,0.0,5
1182,0.0,6
1183,0.0,7
